ra_hr,ra_min,ra_sec,dec,flux_den
5,29,23,-15.5,4.8
5,29.0526315789,23.7894736842,-14.4473684211,4.7
5,29.1052631579,24.5789473684,-13.3947368421,4.8
5,29.1578947368,25.3684210526,-12.3421052632,5
5,29.2105263158,26.1578947368,-11.2894736842,5
5,29.2631578947,26.9473684211,-10.2368421053,5.3
5,29.3157894737,27.7368421053,-9.1842105263,5.2
5,29.3684210526,28.5263157895,-8.1315789474,5
5,29.4210526316,29.3157894737,-7.0789473684,5.4
5,29.4736842105,30.1052631579,-6.0263157895,5.9
5,29.5263157895,30.8947368421,-4.9736842105,5.9
5,29.5789473684,31.6842105263,-3.9210526316,6
5,29.6315789474,32.4736842105,-2.8684210526,6
5,29.6842105263,33.2631578947,-1.8157894737,6
5,29.7368421053,34.0526315789,-0.7631578947,6.1
5,29.7894736842,34.8421052632,0.2894736842,6.4
5,29.8421052632,35.6315789474,1.3421052632,6.8
5,29.8947368421,36.4210526316,2.3947368421,7
5,29.9473684211,37.2105263158,3.4473684211,7.4
5,30,38,4.5,7.6
4,41,23,-15.5,4
4,41.0526315789,23.7894736842,-14.4473684211,4
4,41.1052631579,24.5789473684,-13.3947368421,4.5
4,41.1578947368,25.3684210526,-12.3421052632,4
4,41.2105263158,26.1578947368,-11.2894736842,3.5
4,41.2631578947,26.9473684211,-10.2368421053,4
4,41.3157894737,27.7368421053,-9.1842105263,3.5
4,41.3684210526,28.5263157895,-8.1315789474,4
4,41.4210526316,29.3157894737,-7.0789473684,4
4,41.4736842105,30.1052631579,-6.0263157895,4.8
4,41.5263157895,30.8947368421,-4.9736842105,4.5
4,41.5789473684,31.6842105263,-3.9210526316,5
4,41.6315789474,32.4736842105,-2.8684210526,8
4,41.6842105263,33.2631578947,-1.8157894737,8
4,41.7368421053,34.0526315789,-0.7631578947,5
4,41.7894736842,34.8421052632,0.2894736842,5.2
4,41.8421052632,35.6315789474,1.3421052632,5.8
4,41.8947368421,36.4210526316,2.3947368421,5.8
4,41.9473684211,37.2105263158,3.4473684211,6
4,42,38,4.5,6.5
5,37,23,-15.5,4.8
5,37.0526315789,23.7894736842,-14.4473684211,4.8
5,37.1052631579,24.5789473684,-13.3947368421,4.5
5,37.1578947368,25.3684210526,-12.3421052632,5
5,37.2105263158,26.1578947368,-11.2894736842,5.4
5,37.2631578947,26.9473684211,-10.2368421053,5.4
5,37.3157894737,27.7368421053,-9.1842105263,5.6
5,37.3684210526,28.5263157895,-8.1315789474,9
5,37.4210526316,29.3157894737,-7.0789473684,10
5,37.4736842105,30.1052631579,-6.0263157895,6.2
5,37.5263157895,30.8947368421,-4.9736842105,7
5,37.5789473684,31.6842105263,-3.9210526316,7.5
5,37.6315789474,32.4736842105,-2.8684210526,6
5,37.6842105263,33.2631578947,-1.8157894737,6.5
5,37.7368421053,34.0526315789,-0.7631578947,7
5,37.7894736842,34.8421052632,0.2894736842,6.5
