l,vmin,vmax,-dvmin,+dvmin,-dvmax,+dvmax
0,-163.239364,197.04385,7.800228,9.100266,10.93847,3.24102
-4.5,-85.237084,32.563122,9.100266,3.900114,6.50019,2.600076
-9,-73.536742,7.7459204,105.303078,3.900114,10.1509005,15.7513976
-13.5,-152.83906,8.2709669,3.900114,67.601976,5.0754502,2.2752021
-18,-145.038832,-7.1303993,2.600076,2.600076,9.8008697,17.5015523
-22.5,-129.438376,-20.235184,2.600076,5.200152,7.800228,5.200152
-27,-107.33773,-11.134918,9.100266,2.600076,23.400684,6.50019
-31.5,-100.83754,-34.535602,7.800228,5.200152,1.300038,3.900114
-36,-87.83716,-20.235184,5.200152,7.800228,3.900114,7.800228
-40.5,-68.33659,-0.734614,7.800228,23.400684,16.900494,11.700342
-45,-64.436476,-37.135678,2.600076,1.300038,2.600076,54.601596
-49.5,-61.8364,-34.535602,2.600076,3.900114,1.300038,66.301938
-54,-48.83602,-24.135298,3.900114,5.200152,2.600076,7.800228
-58.5,-43.635868,-18.935146,3.900114,2.600076,2.600076,49.401444
-63,34.366412,34.366412,70.202052,0,0,7.800228
-67.5,3.1655,4.465538,14.300418,0,0,19.50057
-72,-8.534842,-7.234804,2.600076,0,0,35.101026
-76.5,-13.734994,5.765576,2.600076,1.300038,7.800228,22.100646
-81,na,na,na,na,na,na
-85.5,-4.634728,1.865462,1.300038,1.300038,1.300038,1.300038
-90,-2.034652,7.065614,1.300038,1.300038,1.300038,7.800228
